Va,Vb,Vc,Ia,Ib,Ic,fault_type
-3.233047892,11278.08411,-8.700794503,2429.263355,57.26957988,3037.812811,PACTG
-3.360904831,11267.19426,-8.817627949,2417.868036,57.5711683,3038.184787,PACTG
-3.488515437,11255.33301,-8.933627451,2406.206013,57.8702991,3038.235789,PACTG
-3.616187481,11242.54132,-9.048513642,2393.983265,58.1656373,3037.672759,PACTG
-3.744095109,11228.82825,-9.162152865,2381.045197,58.45525325,3036.342463,PACTG
-3.87220262,11214.16775,-9.274603854,2367.438757,58.73749574,3034.292461,PACTG
-4.000272523,11198.51154,-9.3860883,2353.393991,59.01172336,3031.751855,PACTG
-4.127955747,11181.81179,-9.496897614,2339.23245,59.27856693,3029.039631,PACTG
-4.254927662,11164.04342,-9.607273678,2325.239097,59.53961698,3026.437276,PACTG
-4.38101546,11145.21573,-9.717310442,2311.54894,59.7966788,3024.076569,PACTG
-4.50626467,11125.36836,-9.826914995,2298.093674,60.05093716,3021.887298,PACTG
-4.630917542,11104.55358,-9.935842088,2284.629636,60.30242029,3019.625663,PACTG
-4.755311127,11082.81324,-10.04378807,2270.835816,60.5499993,3016.971918,PACTG
-4.879736465,11060.16083,-10.15050654,2256.442721,60.79190777,3013.658179,PACTG
-5.004315541,11036.57683,-10.25590062,2241.340546,61.02654357,3009.575364,PACTG
-5.128946565,11012.01904,-10.36005575,2225.623438,61.25318616,3004.816631,PACTG
-5.253339947,10986.44319,-10.46320128,2209.552215,61.47229585,2999.640062,PACTG
-5.377131031,10959.824,-10.56561608,2193.450504,61.68526902,2994.365607,PACTG
-5.500023517,10932.16723,-10.66751573,2177.575884,61.89377823,2989.247493,PACTG
-5.621905652,10903.50749,-10.76896493,2162.017555,62.09899873,2984.373023,PACTG
-5.742891451,10873.89297,-10.86984961,2146.661405,62.30107359,2979.628129,PACTG
-5.863270279,10843.36441,-10.96991855,2131.236393,62.4990648,2974.743313,PACTG
-5.983384854,10811.93793,-11.0688786,2115.423607,62.69139995,2969.401566,PACTG
-6.103487778,10779.59963,-11.16650582,2098.984345,62.87659294,2963.365116,PACTG
-6.22363456,10746.3139,-11.26272961,2081.856008,63.05391017,2956.570432,PACTG
-6.343657024,10712.0415,-11.35765671,2064.177508,63.22368181,2949.153595,PACTG
-6.463227566,10676.75894,-11.45152624,2046.234107,63.38711557,2941.396009,PACTG
-6.581988276,10640.47009,-11.54461278,2028.343847,63.54571246,2933.612192,PACTG
-6.699691827,10603.20508,-11.63711571,2010.731019,63.70056859,2926.024473,PACTG
-6.816297227,10565.00725,-11.72907741,1993.437258,63.85187941,2918.674617,PACTG
-6.931981339,10525.91449,-11.82036299,1976.305767,63.99886606,2911.407602,PACTG
-7.04706213,10485.9436,-11.91070919,1959.044852,64.14015502,2903.93394,PACTG
-7.16186488,10445.08482,-11.99982412,1941.345299,64.27442256,2895.945621,PACTG
-7.276586436,10403.3088,-12.08749874,1923.004592,64.40099349,2887.239354,PACTG
-7.391212119,10360.58236,-12.17368677,1904.008328,64.52012589,2877.79791,PACTG
-7.505518988,10316.88558,-12.25852093,1884.536361,64.6328617,2867.797154,PACTG
-7.61916322,10272.22229,-12.34225898,1864.891324,64.74051601,2857.536009,PACTG
